,Unnamed: 0,carts_carts-db,cartservice_redis-cart,checkoutservice_cartservice,checkoutservice_currencyservice,checkoutservice_emailservice,checkoutservice_paymentservice,checkoutservice_productcatalogservice,checkoutservice_shippingservice,frontend_cartservice,frontend_checkoutservice,frontend_currencyservice,frontend_productcatalogservice,frontend_recommendationservice,frontend_shippingservice,orders_orders-db,queue-master_rabbitmq,recommendationservice_productcatalogservice,shipping_rabbitmq,unknown_frontend,user_user-db
20,40,0.06380023640656894,0.6882230238345715,5.0,5.0,5.0,5.0,5.0,5.0,6.666774193548386,100.0,5.200249788350476,5.023262605817477,7.867160529344073,5.0,0.06380023640656894,0.00026667851930869464,5.038461538461538,0.0002666666666666667,154.72972972972974,0.020732838561973103
21,42,0.06379976378246807,0.6749667771218277,5.0,5.0,5.0,5.0,5.0,5.0,6.666774193548386,100.0,5.200249788350476,5.023262605817477,7.867160529344073,5.0,0.06379976378246807,0.00026667259298768074,5.038461538461538,0.0002666666666666667,154.72972972972974,0.02073279930009639
22,44,0.0637992911583672,0.6617105304090839,5.0,5.0,5.0,5.0,5.0,5.0,6.666774193548386,100.0,5.200249788350476,5.023262605817477,7.867160529344073,5.0,0.0637992911583672,0.0002666666666666668,5.038461538461538,0.0002666666666666667,154.72972972972974,0.020732760038219673
23,46,0.06379952743891147,0.6686792424949448,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.435924369747899,75.00000000000001,5.024271844660193,5.018572043445564,6.175769080996885,5.0,0.06379952743891147,0.0002666666666666668,5.02016129032258,0.0002666666666666667,130.6122448979592,0.020732951136590887
24,48,0.06379976371945573,0.6756479545808058,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.435924369747899,75.00000000000001,5.024271844660193,5.018572043445564,6.175769080996885,5.0,0.06379976371945573,0.0002666666666666668,5.02016129032258,0.0002666666666666667,130.6122448979592,0.020733142234962112
25,50,0.06379999999999998,0.6826166666666668,5.384615384615384,5.0,5.0,5.0,5.0,5.0,5.435924369747899,75.00000000000001,5.024271844660193,5.018572043445564,6.175769080996885,5.0,0.06379999999999998,0.0002666666666666668,5.02016129032258,0.0002666666666666667,130.6122448979592,0.02073333333333333
26,52,0.06379999999999998,0.6727611111111111,5.0,5.0,5.0,5.0,5.0,5.0,5.6106870229007635,61.25,5.1050582528146755,5.081203602692707,6.370786516853933,5.0,0.06202777777777776,0.0002666666666666668,5.0,0.0002666666666666667,134.37500000000003,0.02073333333333333
27,54,0.06379999999999998,0.6629055555555556,5.0,5.0,5.0,5.0,5.0,5.0,5.6106870229007635,61.25,5.1050582528146755,5.081203602692707,6.370786516853933,5.0,0.06025555555555554,0.0002666666666666668,5.0,0.0002666666666666667,134.37500000000003,0.02073333333333333
28,56,0.06379999999999998,0.65305,5.0,5.0,5.0,5.0,5.0,5.0,5.6106870229007635,61.25,5.1050582528146755,5.081203602692707,6.370786516853933,5.0,0.05848333333333332,0.0002666666666666668,5.0,0.0002666666666666667,134.37500000000003,0.02073333333333333
29,58,0.06379999999999998,0.6579000000000002,5.0,5.0,5.0,5.0,5.0,5.0,5.096986346986347,50.0,5.0279269202088,5.0029655990510085,5.418938017363216,5.0,0.06025555555555554,0.0002666666666666668,5.0,0.0002666666666666667,129.31818181818184,0.02073333333333333
30,60,0.06379999999999998,0.66275,5.0,5.0,5.0,5.0,5.0,5.0,5.096986346986347,50.0,5.0279269202088,5.0029655990510085,5.418938017363216,5.0,0.06202777777777776,0.0002666666666666668,5.0,0.0002666666666666667,129.31818181818184,0.02073333333333333
